countyfips,party_simple,lng,lat,votes
6011,DEMOCRAT,-122.2363987,39.17719198,3239
6011,REPUBLICAN,-122.2363987,39.17719198,4559
6013,DEMOCRAT,-121.9281273,37.91933375,416386
6013,REPUBLICAN,-121.9281273,37.91933375,152877
6015,DEMOCRAT,-123.8971513,41.74323775,4677
6015,REPUBLICAN,-123.8971513,41.74323775,6461
6017,DEMOCRAT,-120.5247066,38.77888901,51621
6017,REPUBLICAN,-120.5247066,38.77888901,61838
6019,DEMOCRAT,-119.6506833,36.75807672,193025
6019,REPUBLICAN,-119.6506833,36.75807672,164464
6021,DEMOCRAT,-122.3921982,39.59788378,3995
6021,REPUBLICAN,-122.3921982,39.59788378,7063
6023,DEMOCRAT,-123.8755258,40.69940115,44768
6023,REPUBLICAN,-123.8755258,40.69940115,21770
6025,DEMOCRAT,-115.3657218,33.03935669,34678
6025,REPUBLICAN,-115.3657218,33.03935669,20847
6027,DEMOCRAT,-117.4113187,36.51173415,4634
6027,REPUBLICAN,-117.4113187,36.51173415,4620
6029,DEMOCRAT,-118.72959,35.34292819,133366
6029,REPUBLICAN,-118.72959,35.34292819,164484
6031,DEMOCRAT,-119.8151995,36.07520008,18699
6031,REPUBLICAN,-119.8151995,36.07520008,24072
6033,DEMOCRAT,-122.7532352,39.0996887,14941
6033,REPUBLICAN,-122.7532352,39.0996887,13123
6035,DEMOCRAT,-120.5947447,40.6733613,2799
6035,REPUBLICAN,-120.5947447,40.6733613,8970
6037,DEMOCRAT,-118.224703,34.32134579,3028885
6037,REPUBLICAN,-118.224703,34.32134579,1145530
6039,DEMOCRAT,-119.7624357,37.21825802,23168
6039,REPUBLICAN,-119.7624357,37.21825802,29378
6041,DEMOCRAT,-122.7234103,38.07351203,128288
6041,REPUBLICAN,-122.7234103,38.07351203,24612
6043,DEMOCRAT,-119.9053183,37.58143472,4088
6043,REPUBLICAN,-119.9053183,37.58143472,5950
6045,DEMOCRAT,-123.3914743,39.44027921,28782
6045,REPUBLICAN,-123.3914743,39.44027921,13267
6047,DEMOCRAT,-120.7175058,37.19189197,48991
6047,REPUBLICAN,-120.7175058,37.19189197,39397
6049,DEMOCRAT,-120.7251192,41.58969344,1150
6049,REPUBLICAN,-120.7251192,41.58969344,3109
6051,DEMOCRAT,-118.8872447,37.93940061,4013
6051,REPUBLICAN,-118.8872447,37.93940061,2513
6053,DEMOCRAT,-121.2387503,36.21711865,113953
6053,REPUBLICAN,-121.2387503,36.21711865,46299
6055,DEMOCRAT,-122.3306328,38.5065458,49817
6055,REPUBLICAN,-122.3306328,38.5065458,20676
6057,DEMOCRAT,-120.7682923,39.30150048,36359
6057,REPUBLICAN,-120.7682923,39.30150048,26779
6059,DEMOCRAT,-117.760976,33.70311134,814009
6059,REPUBLICAN,-117.760976,33.70311134,676498
6061,DEMOCRAT,-120.717846,39.06347097,106869
6061,REPUBLICAN,-120.717846,39.06347097,122488
6063,DEMOCRAT,-120.8382348,40.00422172,4561
6063,REPUBLICAN,-120.8382348,40.00422172,6445
6065,DEMOCRAT,-115.9939021,33.74329781,528340
6065,REPUBLICAN,-115.9939021,33.74329781,449144
6067,DEMOCRAT,-121.3445212,38.44881725,440808
6067,REPUBLICAN,-121.3445212,38.44881725,259405
6069,DEMOCRAT,-121.0752215,36.60559815,17628
6069,REPUBLICAN,-121.0752215,36.60559815,10590
6071,DEMOCRAT,-116.1783784,34.84157876,455859
6071,REPUBLICAN,-116.1783784,34.84157876,366257
6073,DEMOCRAT,-116.7353982,33.03386576,964650
6073,REPUBLICAN,-116.7353982,33.03386576,600094
6075,DEMOCRAT,-122.4396708,37.75668116,378156
6075,REPUBLICAN,-122.4396708,37.75668116,56417
6077,DEMOCRAT,-121.2712102,37.9345275,161137
6077,REPUBLICAN,-121.2712102,37.9345275,121098
6079,DEMOCRAT,-120.4042917,35.38707354,88310
6079,REPUBLICAN,-120.4042917,35.38707354,67436
6081,DEMOCRAT,-122.328899,37.42298018,291496
6081,REPUBLICAN,-122.328899,37.42298018,75584
6083,DEMOCRAT,-120.0150919,34.67142103,129963
6083,REPUBLICAN,-120.0150919,34.67142103,65736
6085,DEMOCRAT,-121.6951016,37.23169965,617967
6085,REPUBLICAN,-121.6951016,37.23169965,214612
6087,DEMOCRAT,-122.0017742,37.0561908,114246
6087,REPUBLICAN,-122.0017742,37.0561908,26937
6089,DEMOCRAT,-122.0409443,40.76391106,30000
6089,REPUBLICAN,-122.0409443,40.76391106,60789
6091,DEMOCRAT,-120.5162324,39.58019892,730
6091,REPUBLICAN,-120.5162324,39.58019892,1142
6093,DEMOCRAT,-122.5405164,41.59272613,9593
6093,REPUBLICAN,-122.5405164,41.59272613,13290
6095,DEMOCRAT,-121.9331593,38.27025048,131639
6095,REPUBLICAN,-121.9331593,38.27025048,69306
6097,DEMOCRAT,-122.8872965,38.52842052,199938
6097,REPUBLICAN,-122.8872965,38.52842052,61825
6099,DEMOCRAT,-120.9979524,37.55851635,105841
6099,REPUBLICAN,-120.9979524,37.55851635,104145
6101,DEMOCRAT,-121.6946189,39.03464654,17367
6101,REPUBLICAN,-121.6946189,39.03464654,24375
6103,DEMOCRAT,-122.2338547,40.12559985,8911
6103,REPUBLICAN,-122.2338547,40.12559985,19141
6105,DEMOCRAT,-123.1126773,40.65059444,2851
6105,REPUBLICAN,-123.1126773,40.65059444,3188
6107,DEMOCRAT,-118.8004216,36.22081997,66105
6107,REPUBLICAN,-118.8004216,36.22081997,77579
6109,DEMOCRAT,-119.9551317,38.02748982,11978
6109,REPUBLICAN,-119.9551317,38.02748982,17689
6111,DEMOCRAT,-119.0848457,34.45474678,251388
6111,REPUBLICAN,-119.0848457,34.45474678,162207
6113,DEMOCRAT,-121.9015118,38.68648941,67598
6113,REPUBLICAN,-121.9015118,38.68648941,27292
6115,DEMOCRAT,-121.3508296,39.26930746,11230
6115,REPUBLICAN,-121.3508296,39.26930746,17676
8001,DEMOCRAT,-104.3375808,39.87357077,134202
8001,REPUBLICAN,-104.3375808,39.87357077,95657
8003,DEMOCRAT,-105.788359,37.57261807,3759
8003,REPUBLICAN,-105.788359,37.57261807,3813
8005,DEMOCRAT,-104.3385011,39.649919,213607
8005,REPUBLICAN,-104.3385011,39.649919,127323
8007,DEMOCRAT,-107.0481757,37.19365584,3738
8007,REPUBLICAN,-107.0481757,37.19365584,5189
8009,DEMOCRAT,-102.5601186,37.31923997,317
8009,REPUBLICAN,-102.5601186,37.31923997,1867
8011,DEMOCRAT,-103.0720227,37.95492416,732
8011,REPUBLICAN,-103.0720227,37.95492416,1503
8013,DEMOCRAT,-105.3574574,40.09241482,159089
8013,REPUBLICAN,-105.3574574,40.09241482,42501
8014,DEMOCRAT,-105.0532651,39.95343909,29077
8014,REPUBLICAN,-105.0532651,39.95343909,16295
8015,DEMOCRAT,-106.1940269,38.74728839,7160
8015,REPUBLICAN,-106.1940269,38.74728839,6222
8017,DEMOCRAT,-102.6036365,38.82780723,131
8017,REPUBLICAN,-102.6036365,38.82780723,993
8019,DEMOCRAT,-105.6447627,39.68922182,3604
8019,REPUBLICAN,-105.6447627,39.68922182,2754
8021,DEMOCRAT,-106.1911108,37.20059578,1959
8021,REPUBLICAN,-106.1911108,37.20059578,2286
8023,DEMOCRAT,-105.4278551,37.27823118,1311
8023,REPUBLICAN,-105.4278551,37.27823118,741
8025,DEMOCRAT,-103.7838298,38.32685938,437
8025,REPUBLICAN,-103.7838298,38.32685938,1271
8027,DEMOCRAT,-105.3670379,38.10882281,1112
8027,REPUBLICAN,-105.3670379,38.10882281,2474
8029,DEMOCRAT,-107.8629449,38.86135647,5887
8029,REPUBLICAN,-107.8629449,38.86135647,13081
8031,DEMOCRAT,-104.8760248,39.76129114,313293
8031,REPUBLICAN,-104.8760248,39.76129114,71618
8033,DEMOCRAT,-108.5173886,37.75208472,341
8033,REPUBLICAN,-108.5173886,37.75208472,1089
8035,DEMOCRAT,-104.92921,39.32970828,104653
8035,REPUBLICAN,-104.92921,39.32970828,121270
8037,DEMOCRAT,-106.6953848,39.62801893,18588
8037,REPUBLICAN,-106.6953848,39.62801893,9892
8039,DEMOCRAT,-104.1351629,39.2863996,4490
8039,REPUBLICAN,-104.1351629,39.2863996,14027
8041,DEMOCRAT,-104.5257538,38.83242336,161941
8041,REPUBLICAN,-104.5257538,38.83242336,202828
8043,DEMOCRAT,-105.4399703,38.47306423,7369
8043,REPUBLICAN,-105.4399703,38.47306423,17517
8045,DEMOCRAT,-107.9036205,39.59941978,15427
8045,REPUBLICAN,-107.9036205,39.59941978,14717
8047,DEMOCRAT,-105.5221395,39.85721134,2223
8047,REPUBLICAN,-105.5221395,39.85721134,1833
8049,DEMOCRAT,-106.1184564,40.10246658,4710
8049,REPUBLICAN,-106.1184564,40.10246658,4883
8051,DEMOCRAT,-107.0316959,38.66684745,7132
8051,REPUBLICAN,-107.0316959,38.66684745,3735
8053,DEMOCRAT,-107.3003579,37.82131615,255
8053,REPUBLICAN,-107.3003579,37.82131615,353
8055,DEMOCRAT,-104.9607082,37.68484082,2076
8055,REPUBLICAN,-104.9607082,37.68484082,2203
8057,DEMOCRAT,-106.3427076,40.66623861,175
8057,REPUBLICAN,-106.3427076,40.66623861,681
8059,DEMOCRAT,-105.2504738,39.58646067,218396
8059,REPUBLICAN,-105.2504738,39.58646067,148417
8061,DEMOCRAT,-102.7389041,38.43263854,98
8061,REPUBLICAN,-102.7389041,38.43263854,795
8063,DEMOCRAT,-102.60233,39.30507096,662
8063,REPUBLICAN,-102.60233,39.30507096,3144
8065,DEMOCRAT,-106.344854,39.20226223,2303
8065,REPUBLICAN,-106.344854,39.20226223,1497
8067,DEMOCRAT,-107.843327,37.28655123,20548
