primarykey,combinedfips,countyfips,statefips,party_simple,lng,lat,votes
50503318607,505033,5033,5,REPUBLICAN,-94.24296995,35.588841,18607
5050358514,505035,5035,5,DEMOCRAT,-90.30924635,35.20762172,8514
5050357333,505035,5035,5,REPUBLICAN,-90.30924635,35.20762172,7333
5050371772,505037,5037,5,DEMOCRAT,-90.77181286,35.29547453,1772
5050374946,505037,5037,5,REPUBLICAN,-90.77181286,35.29547453,4946
505039963,505039,5039,5,DEMOCRAT,-92.65420664,33.96953994,963
5050391573,505039,5039,5,REPUBLICAN,-92.65420664,33.96953994,1573
5050412016,505041,5041,5,DEMOCRAT,-91.2539449,33.83346926,2016
5050411921,505041,5041,5,REPUBLICAN,-91.2539449,33.83346926,1921
5050432426,505043,5043,5,DEMOCRAT,-91.71972855,33.58957425,2426
5050434349,505043,5043,5,REPUBLICAN,-91.71972855,33.58957425,4349
50504518347,505045,5045,5,DEMOCRAT,-92.33201857,35.14732521,18347
50504534421,505045,5045,5,REPUBLICAN,-92.33201857,35.14732521,34421
5050471300,505047,5047,5,DEMOCRAT,-93.89070916,35.51229968,1300
5050475677,505047,5047,5,REPUBLICAN,-93.89070916,35.51229968,5677
5050491035,505049,5049,5,DEMOCRAT,-91.81767336,36.3818346,1035
5050493961,505049,5049,5,REPUBLICAN,-91.81767336,36.3818346,3961
50505114045,505051,5051,5,DEMOCRAT,-93.15048723,34.57659951,14045
50505129069,505051,5051,5,REPUBLICAN,-93.15048723,34.57659951,29069
5050531268,505053,5053,5,DEMOCRAT,-92.42371463,34.29002049,1268
5050536794,505053,5053,5,REPUBLICAN,-92.42371463,34.29002049,6794
5050553058,505055,5055,5,DEMOCRAT,-90.55895377,36.11773282,3058
50505512670,505055,5055,5,REPUBLICAN,-90.55895377,36.11773282,12670
5050572138,505057,5057,5,DEMOCRAT,-93.66809039,33.73564268,2138
5050574470,505057,5057,5,REPUBLICAN,-93.66809039,33.73564268,4470
5050593082,505059,5059,5,DEMOCRAT,-92.94560125,34.31751189,3082
5050599202,505059,5059,5,REPUBLICAN,-92.94560125,34.31751189,9202
5050611340,505061,5061,5,DEMOCRAT,-93.99344494,34.08897983,1340
5050613367,505061,5061,5,REPUBLICAN,-93.99344494,34.08897983,3367
5050632806,505063,5063,5,DEMOCRAT,-91.56991638,35.74143554,2806
50506311250,505063,5063,5,REPUBLICAN,-91.56991638,35.74143554,11250
5050651021,505065,5065,5,DEMOCRAT,-91.91279069,36.09526565,1021
5050654631,505065,5065,5,REPUBLICAN,-91.91279069,36.09526565,4631
5050671365,505067,5067,5,DEMOCRAT,-91.21423884,35.59923757,1365
5050673593,505067,5067,5,REPUBLICAN,-91.21423884,35.59923757,3593
50506914981,505069,5069,5,DEMOCRAT,-91.93189159,34.26882203,14981
5050699521,505069,5069,5,REPUBLICAN,-91.93189159,34.26882203,9521
5050712283,505071,5071,5,DEMOCRAT,-93.46000035,35.57001766,2283
5050716938,505071,5071,5,REPUBLICAN,-93.46000035,35.57001766,6938
505073839,505073,5073,5,DEMOCRAT,-93.60684679,33.24091819,839
5050731757,505073,5073,5,REPUBLICAN,-93.60684679,33.24091819,1757
5050751080,505075,5075,5,DEMOCRAT,-91.1070497,36.04103952,1080
5050754569,505075,5075,5,REPUBLICAN,-91.1070497,36.04103952,4569
5050771423,505077,5077,5,DEMOCRAT,-90.78211015,34.78064921,1423
5050771286,505077,5077,5,REPUBLICAN,-90.78211015,34.78064921,1286
5050791032,505079,5079,5,DEMOCRAT,-91.73333878,33.95753882,1032
5050792729,505079,5079,5,REPUBLICAN,-91.73333878,33.95753882,2729
5050811226,505081,5081,5,DEMOCRAT,-94.2339787,33.70228691,1226
5050813715,505081,5081,5,REPUBLICAN,-94.2339787,33.70228691,3715
