combinedfips,countyfips,statefips,party,lng,lat,votes
505091,5091,5,republican,-93.89142003,33.31200171,11294
505093,5093,5,democratic,-90.05430077,35.76420127,5670
505093,5093,5,republican,-90.05430077,35.76420127,7061
505095,5095,5,democratic,-91.20394825,34.67772323,1312
505095,5095,5,republican,-91.20394825,34.67772323,1489
505097,5097,5,democratic,-93.65944523,34.53888136,748
505097,5097,5,republican,-93.65944523,34.53888136,2643
505099,5099,5,democratic,-93.30697684,33.66338522,1157
505099,5099,5,republican,-93.30697684,33.66338522,2000
505101,5101,5,democratic,-93.2178649,35.91979049,699
505101,5101,5,republican,-93.2178649,35.91979049,2875
505103,5103,5,democratic,-92.88191217,33.59337533,4321
505103,5103,5,republican,-92.88191217,33.59337533,5351
505105,5105,5,democratic,-92.93150636,34.947251,1049
505105,5105,5,republican,-92.93150636,34.947251,3008
505107,5107,5,democratic,-90.84810681,34.42853288,4310
505107,5107,5,republican,-90.84810681,34.42853288,2446
505109,5109,5,democratic,-93.65621,34.16356461,685
505109,5109,5,republican,-93.65621,34.16356461,3150
505111,5111,5,democratic,-90.66282507,35.57408383,1880
505111,5111,5,republican,-90.66282507,35.57408383,5502
505113,5113,5,democratic,-94.2279123,34.48595315,1212
505113,5113,5,republican,-94.2279123,34.48595315,6618
505115,5115,5,democratic,-93.03400145,35.4476948,5000
505115,5115,5,republican,-93.03400145,35.4476948,16256
505117,5117,5,democratic,-91.55194184,34.83010091,814
505117,5117,5,republican,-91.55194184,34.83010091,2505
505119,5119,5,democratic,-92.31191414,34.76993891,89574
505119,5119,5,republican,-92.31191414,34.76993891,61257
505121,5121,5,democratic,-91.02752205,36.34154412,1425
505121,5121,5,republican,-91.02752205,36.34154412,4509
505123,5123,5,democratic,-90.74840472,35.02180511,4031
505123,5123,5,republican,-90.74840472,35.02180511,3195
505125,5125,5,democratic,-92.67655329,34.64661779,13256
505125,5125,5,republican,-92.67655329,34.64661779,35863
505127,5127,5,democratic,-94.06315729,34.86103868,602
505127,5127,5,republican,-94.06315729,34.86103868,2731
505129,5129,5,democratic,-92.69933958,35.91115674,601
505129,5129,5,republican,-92.69933958,35.91115674,2955
505131,5131,5,democratic,-94.27397371,35.19943145,12300
505131,5131,5,republican,-94.27397371,35.19943145,29127
505133,5133,5,democratic,-94.24072249,33.9971421,1075
505133,5133,5,republican,-94.24072249,33.9971421,3282
505135,5135,5,democratic,-91.47928351,36.16124847,1472
505135,5135,5,republican,-91.47928351,36.16124847,5407
505137,5137,5,democratic,-92.15689859,35.86003074,1203
505137,5137,5,republican,-92.15689859,35.86003074,4113
505139,5139,5,democratic,-92.59770646,33.17125929,5855
505139,5139,5,republican,-92.59770646,33.17125929,10456
505141,5141,5,democratic,-92.51610324,35.58054667,1549
505141,5141,5,republican,-92.51610324,35.58054667,5382
505143,5143,5,democratic,-94.21571712,35.97899668,33366
505143,5143,5,republican,-94.21571712,35.97899668,41476
505145,5145,5,democratic,-91.74548804,35.25612459,5170
505145,5145,5,republican,-91.74548804,35.25612459,21077
505147,5147,5,democratic,-91.24302721,35.18620495,1118
505147,5147,5,republican,-91.24302721,35.18620495,1347
505149,5149,5,democratic,-93.41105962,35.00270728,1480
505149,5149,5,republican,-93.41105962,35.00270728,4608
606001,6001,6,democratic,-121.888612,37.64642367,514842
606001,6001,6,republican,-121.888612,37.64642367,95922
606003,6003,6,democratic,-119.8206263,38.59721624,334
606003,6003,6,republican,-119.8206263,38.59721624,217
606005,6005,6,democratic,-120.651296,38.44638702,6004
606005,6005,6,republican,-120.651296,38.44638702,10485
606007,6007,6,democratic,-121.6008508,39.66681952,41567
606007,6007,6,republican,-121.6008508,39.66681952,45144
606009,6009,6,democratic,-120.554132,38.20478056,7944
606009,6009,6,republican,-120.554132,38.20478056,13511
606011,6011,6,democratic,-122.2363987,39.17719198,2661
606011,6011,6,republican,-122.2363987,39.17719198,3551
606013,6013,6,democratic,-121.9281273,37.91933375,319287
606013,6013,6,republican,-121.9281273,37.91933375,115956
606015,6015,6,democratic,-123.8971513,41.74323775,3485
606015,6015,6,republican,-123.8971513,41.74323775,5134
606017,6017,6,democratic,-120.5247066,38.77888901,36404
606017,6017,6,republican,-120.5247066,38.77888901,49247
606019,6019,6,democratic,-119.6506833,36.75807672,141341
606019,6019,6,republican,-119.6506833,36.75807672,124049
606021,6021,6,democratic,-122.3921982,39.59788378,3065
606021,6021,6,republican,-122.3921982,39.59788378,5788
606023,6023,6,democratic,-123.8755258,40.69940115,33200
606023,6023,6,republican,-123.8755258,40.69940115,18373
606025,6025,6,democratic,-115.3657218,33.03935669,32667
606025,6025,6,republican,-115.3657218,33.03935669,12704
606027,6027,6,democratic,-117.4113187,36.51173415,3155
606027,6027,6,republican,-117.4113187,36.51173415,4248
606029,6029,6,democratic,-118.72959,35.34292819,98689
606029,6029,6,republican,-118.72959,35.34292819,129584
606031,6031,6,democratic,-119.8151995,36.07520008,13617
606031,6031,6,republican,-119.8151995,36.07520008,18093
606033,6033,6,democratic,-122.7532352,39.0996887,11500
606033,6033,6,republican,-122.7532352,39.0996887,10603
606035,6035,6,democratic,-120.5947447,40.6733613,2224
606035,6035,6,republican,-120.5947447,40.6733613,7574
606037,6037,6,democratic,-118.224703,34.32134579,2464364
606037,6037,6,republican,-118.224703,34.32134579,769743
606039,6039,6,democratic,-119.7624357,37.21825802,17029
606039,6039,6,republican,-119.7624357,37.21825802,23357
606041,6041,6,democratic,-122.7234103,38.07351203,108707
606041,6041,6,republican,-122.7234103,38.07351203,21771
606043,6043,6,democratic,-119.9053183,37.58143472,3122
606043,6043,6,republican,-119.9053183,37.58143472,5185
606045,6045,6,democratic,-123.3914743,39.44027921,22079
606045,6045,6,republican,-123.3914743,39.44027921,10888
606047,6047,6,democratic,-120.7175058,37.19189197,37317
606047,6047,6,republican,-120.7175058,37.19189197,28725
606049,6049,6,democratic,-120.7251192,41.58969344,877
606049,6049,6,republican,-120.7251192,41.58969344,2696
606051,6051,6,democratic,-118.8872447,37.93940061,2773
606051,6051,6,republican,-118.8872447,37.93940061,2111
606053,6053,6,democratic,-121.2387503,36.21711865,89088
606053,6053,6,republican,-121.2387503,36.21711865,34895
606055,6055,6,democratic,-122.3306328,38.5065458,39199
606055,6055,6,republican,-122.3306328,38.5065458,17411
606057,6057,6,democratic,-120.7682923,39.30150048,26053
606057,6057,6,republican,-120.7682923,39.30150048,23365
606059,6059,6,democratic,-117.760976,33.70311134,609961
606059,6059,6,republican,-117.760976,33.70311134,507148
606061,6061,6,democratic,-120.717846,39.06347097,73509
606061,6061,6,republican,-120.717846,39.06347097,95138
606063,6063,6,democratic,-120.8382348,40.00422172,3459
606063,6063,6,republican,-120.8382348,40.00422172,5420
606065,6065,6,democratic,-115.9939021,33.74329781,373695
606065,6065,6,republican,-115.9939021,33.74329781,333243
606067,6067,6,democratic,-121.3445212,38.44881725,326023
606067,6067,6,republican,-121.3445212,38.44881725,189789
606069,6069,6,democratic,-121.0752215,36.60559815,12521
606069,6069,6,republican,-121.0752215,36.60559815,7841
606071,6071,6,democratic,-116.1783784,34.84157876,340818
606071,6071,6,republican,-116.1783784,34.84157876,271225
606073,6073,6,democratic,-116.7353982,33.03386576,735476
606073,6073,6,republican,-116.7353982,33.03386576,477766
606075,6075,6,democratic,-122.4396708,37.75668116,345084
606075,6075,6,republican,-122.4396708,37.75668116,37688
606077,6077,6,democratic,-121.2712102,37.9345275,121124
606077,6077,6,republican,-121.2712102,37.9345275,88936
606079,6079,6,democratic,-120.4042917,35.38707354,67107
606079,6079,6,republican,-120.4042917,35.38707354,56164
606081,6081,6,democratic,-122.328899,37.42298018,237882
606081,6081,6,republican,-122.328899,37.42298018,57929
606083,6083,6,democratic,-120.0150919,34.67142103,107142
606083,6083,6,republican,-120.0150919,34.67142103,56365
606085,6085,6,democratic,-121.6951016,37.23169965,511684
606085,6085,6,republican,-121.6951016,37.23169965,144826
606087,6087,6,democratic,-122.0017742,37.0561908,95249
606087,6087,6,republican,-122.0017742,37.0561908,22438
606089,6089,6,democratic,-122.0409443,40.76391106,22301
606089,6089,6,republican,-122.0409443,40.76391106,51778
606091,6091,6,democratic,-120.5162324,39.58019892,601
606091,6091,6,republican,-120.5162324,39.58019892,1048
606093,6093,6,democratic,-122.5405164,41.59272613,7234
606093,6093,6,republican,-122.5405164,41.59272613,11341
606095,6095,6,democratic,-121.9331593,38.27025048,102360
606095,6095,6,republican,-121.9331593,38.27025048,51920
606097,6097,6,democratic,-122.8872965,38.52842052,160435
606097,6097,6,republican,-122.8872965,38.52842052,51408
606099,6099,6,democratic,-120.9979524,37.55851635,81647
606099,6099,6,republican,-120.9979524,37.55851635,78494
606101,6101,6,democratic,-121.6946189,39.03464654,13076
606101,6101,6,republican,-121.6946189,39.03464654,18176
606103,6103,6,democratic,-122.2338547,40.12559985,6809
606103,6103,6,republican,-122.2338547,40.12559985,15494
606105,6105,6,democratic,-123.1126773,40.65059444,2214
606105,6105,6,republican,-123.1126773,40.65059444,2812
606107,6107,6,democratic,-118.8004216,36.22081997,47585
606107,6107,6,republican,-118.8004216,36.22081997,58299
606109,6109,6,democratic,-119.9551317,38.02748982,9123
606109,6109,6,republican,-119.9551317,38.02748982,14551
606111,6111,6,democratic,-119.0848457,34.45474678,194402
